ModelID,ModelType,ArenaScore,ServerID
1,1,1,13
2,1,0.967,1
3,1,0.952,25
4,1,0.942,9
5,1,0.936,9
6,1,0.928,20
7,1,0.908,22
8,1,0.908,7
9,1,0.897,13
10,1,0.881,17
11,1,0.873,21
12,1,0.867,7
13,1,0.863,11
14,1,0.861,1
15,1,0.848,10
16,1,0.845,13
17,1,0.838,4
18,1,0.822,22
19,1,0.817,20
20,1,0.811,4
21,1,0.805,17
22,1,0.8,17
23,1,0.8,7
24,1,0.798,21
25,1,0.791,5
26,1,0.791,7
27,1,0.791,15
28,1,0.789,17
29,1,0.786,14
30,1,0.786,2
31,1,0.784,22
32,1,0.777,4
33,1,0.775,22
34,1,0.77,24
35,1,0.764,6
36,1,0.763,11
37,1,0.759,19
38,1,0.756,1
39,1,0.755,15
40,1,0.75,14
41,1,0.744,22
42,1,0.742,5
43,1,0.739,21
44,1,0.739,16
45,1,0.738,14
46,1,0.738,6
47,1,0.738,23
48,1,0.734,8
49,1,0.734,7
50,1,0.733,25
51,1,0.731,8
52,1,0.731,22
53,1,0.73,22
54,1,0.728,8
55,1,0.725,1
56,1,0.722,24
57,1,0.72,15
58,1,0.717,22
59,1,0.716,10
60,1,0.714,21
61,1,0.714,8
62,1,0.706,9
63,1,0.705,7
64,1,0.705,9
65,1,0.703,4
66,1,0.702,1
67,1,0.7,15
68,1,0.697,25
69,1,0.695,11
70,1,0.695,18
71,1,0.684,14
72,1,0.681,13
73,1,0.669,3
74,1,0.661,7
75,1,0.658,20
76,1,0.653,10
77,1,0.653,23
78,1,0.653,17
79,1,0.652,22
80,1,0.65,11
81,1,0.645,17
82,1,0.644,4
83,1,0.641,8
84,1,0.641,25
85,1,0.638,4
86,1,0.638,7
87,1,0.634,24
88,1,0.634,3
89,1,0.628,10
90,1,0.623,11
91,1,0.614,2
92,1,0.611,15
93,1,0.609,3
94,1,0.606,5
95,1,0.605,16
96,1,0.603,22
97,1,0.598,24
98,1,0.595,14
99,1,0.594,24
100,1,0.594,7
101,1,0.592,19
102,1,0.589,7
103,1,0.589,19
104,1,0.569,18
105,1,0.566,22
106,1,0.559,14
107,1,0.559,8
108,1,0.558,6
109,1,0.553,16
110,1,0.552,13
111,1,0.547,18
112,1,0.547,21
113,1,0.545,24
114,1,0.545,12
115,1,0.544,24
116,1,0.544,8
117,1,0.539,8
118,1,0.536,9
119,1,0.519,24
120,1,0.513,5
121,1,0.509,22
122,1,0.506,9
123,1,0.5,10
124,1,0.5,25
125,1,0.492,5
126,1,0.488,2
127,1,0.488,7
128,1,0.484,25
129,1,0.48,17
130,1,0.48,22
131,1,0.475,1
132,1,0.475,2
133,1,0.473,1
134,1,0.469,19
135,1,0.459,2
136,1,0.459,1
137,1,0.456,6
138,1,0.456,1
139,1,0.455,19
140,1,0.452,24
141,1,0.445,19
142,1,0.445,1
143,1,0.439,16
144,1,0.434,19
145,1,0.433,8
146,1,0.43,9
147,1,0.43,7
148,1,0.427,16
149,1,0.425,14
150,1,0.423,23
151,1,0.42,23
152,1,0.417,13
153,1,0.413,3
154,1,0.413,16
155,1,0.411,25
156,1,0.406,17
157,1,0.398,6
158,1,0.397,23
159,1,0.388,16
160,1,0.384,22
161,1,0.381,7
162,1,0.38,22
163,1,0.38,23
164,1,0.378,20
165,1,0.372,5
166,1,0.372,22
167,1,0.372,16
168,1,0.369,7
169,1,0.367,9
170,1,0.366,23
171,1,0.347,8
172,1,0.341,10
173,1,0.338,15
174,1,0.327,19
175,1,0.322,20
176,1,0.319,23
177,1,0.297,3
178,1,0.295,25
179,1,0.259,8
180,1,0.244,18
181,1,0.208,19
182,1,0.202,12
183,1,0.195,23
184,1,0.192,14
185,1,0.159,11
186,1,0.147,16
187,1,0.125,9
188,1,0.108,23
189,1,0.064,5
190,1,0.036,8
191,1,0,1
192,2,0.865,5
193,2,0.835,1
194,2,0.83,8
195,2,0.828,23
196,2,0.813,7
197,2,0.775,21
198,2,0.754,8
199,2,0.718,18
200,2,0.691,21
201,2,0.656,19
202,2,0.599,23
203,2,0.416,15
204,2,0.41,18
205,2,0.131,5
206,2,0.103,13
207,2,0.891,25
208,2,0.871,5
209,2,0.821,25
210,2,0.812,1
211,2,0.762,1
212,2,0.658,25
213,2,0.624,8
214,2,0.595,25
215,2,0.594,18
216,2,0.576,10
217,2,0.574,10
218,2,0.417,5
219,2,0.39,11
220,2,0.247,4
221,2,0.067,11
222,3,0.417,21
223,3,0.417,3
224,3,0.615,21
225,3,0.739,3
226,3,0.835,3
227,3,0.759,5
