ServerID,Longitude,Latitude,LinkBandwidth,ComputationCapacity,StorageCapacity,TrafficRate
44,-4.8625,50.2069,50,53,19,37
28,-3.1842,57.4862,50,50,22,23
49,-4.0991,52.7716,50,49,22,33
19,-1.6024,54.5079,50,48,30,36
37,-5.1448,54.9047,50,47,27,34
4,-2.198,55.8543,50,46,31,30
40,-3.5541,51.4918,50,45,30,24
13,-5.9217,54.4182,50,44,23,29
30,0.8735,51.9281,50,43,32,29
24,-5.4832,57.256,50,42,25,33
39,-2.3128,54.088,50,42,29,39
9,-4.2067,57.479,50,41,26,31
42,-2.6026,56.5658,50,41,36,29
16,-1.3666,50.6238,50,40,33,27
33,-4.3098,51.8475,50,40,24,35
1,-0.0939,51.5051,50,39,28,33
27,-3.3632,53.3449,50,39,37,38
48,-1.6147,55.3003,50,39,38,25
8,-0.1799,54.1275,50,38,24,26
35,0.5564,50.8588,50,38,26,20
5,-4.5238,53.3878,50,37,22,28
23,-3.4187,56.3622,50,37,18,28
45,-2.1713,50.631,50,37,31,22
10,-2.2478,53.1423,50,36,29,35
38,-2.6396,52.3762,50,36,21,27
12,-4.7026,55.6541,50,35,30,39
17,-3.0705,54.4499,50,35,28,34
34,-1.0217,51.5096,50,35,34,31
2,-6.7823,57.4283,50,34,25,24
25,0.4652,52.8902,50,34,31,18
46,-0.5596,50.8518,50,34,27,43
7,-2.9144,50.942,50,33,35,37
29,-3.5123,55.3607,50,33,23,42
50,-4.0217,55.9394,50,33,20,40
20,-0.8287,52.7607,50,32,24,25
15,1.4516,51.1081,50,31,16,45
32,-5.5768,56.3242,50,31,28,26
6,-7.6456,54.2971,50,30,27,19
43,-1.6274,52.6187,50,30,25,32
11,1.7257,52.6392,50,29,21,22
36,-3.5725,50.345,50,29,15,46
31,-1.0981,53.6872,50,28,20,31
14,-5.2675,51.8814,50,27,25,30
26,-6.8334,55.1661,50,26,26,30
3,-5.6973,50.1258,50,25,19,41
41,-0.1324,52.325,50,24,23,36
22,-1.9022,51.8554,50,22,29,40
47,-0.2504,53.3156,50,21,24,30
18,-3.4988,52.3128,50,18,20,21
21,-4.3298,50.8158,50,16,27,32
