UserId,La,Lo,route,w1,w2,size
1,53.39246723,-4.51487471,"[2, 2, 1, 1, 1]",0.60772,0.39228,508
1,53.39246723,-4.51487471,"[2, 1, 2, 3, 3]",0.60772,0.39228,2
1,53.39246723,-4.51487471,"[2, 1, 3, 3, 1]",0.60772,0.39228,96
1,53.39246723,-4.51487471,"[2, 2, 3, 3, 1]",0.60772,0.39228,300
1,53.39246723,-4.51487471,"[2, 2, 1, 1, 3]",0.60772,0.39228,275
2,50.94441665,-2.9175945,"[2, 2, 2, 3, 1]",0.121298,0.878702,203
2,50.94441665,-2.9175945,"[1, 1, 3, 1, 1]",0.121298,0.878702,436
2,50.94441665,-2.9175945,"[2, 3, 3, 3, 3]",0.121298,0.878702,454
2,50.94441665,-2.9175945,"[1, 1, 3, 3, 3]",0.121298,0.878702,341
2,50.94441665,-2.9175945,"[2, 2, 1, 1, 3]",0.121298,0.878702,64
3,51.51395874,-1.024955245,"[2, 1, 1, 3, 3]",0.542409,0.457591,239
3,51.51395874,-1.024955245,"[1, 2, 2, 1, 3]",0.542409,0.457591,283
3,51.51395874,-1.024955245,"[2, 1, 3, 1, 3]",0.542409,0.457591,28
3,51.51395874,-1.024955245,"[1, 1, 1, 1, 1]",0.542409,0.457591,78
3,51.51395874,-1.024955245,"[2, 1, 1, 1, 3]",0.542409,0.457591,145
4,56.3170903,-5.57584776,"[1, 1, 2, 2, 1]",0.85125,0.14875,9
4,56.3170903,-5.57584776,"[2, 1, 3, 1, 1]",0.85125,0.14875,357
4,56.3170903,-5.57584776,"[2, 1, 1, 1, 3]",0.85125,0.14875,244
4,56.3170903,-5.57584776,"[2, 3, 3, 3, 1]",0.85125,0.14875,376
4,56.3170903,-5.57584776,"[1, 1, 3, 3, 1]",0.85125,0.14875,220
5,52.77637984,-4.106543005,"[2, 3, 3, 3, 1]",0.43887,0.56113,292
5,52.77637984,-4.106543005,"[2, 3, 3, 3, 3]",0.43887,0.56113,243
5,52.77637984,-4.106543005,"[2, 1, 1, 1, 1]",0.43887,0.56113,302
5,52.77637984,-4.106543005,"[1, 1, 1, 1, 3]",0.43887,0.56113,65
5,52.77637984,-4.106543005,"[1, 1, 1, 1, 1]",0.43887,0.56113,369
6,54.40858346,-5.923729959,"[2, 2, 3, 3, 3]",0.502279,0.497721,415
6,54.40858346,-5.923729959,"[1, 1, 2, 3, 3]",0.502279,0.497721,268
6,54.40858346,-5.923729959,"[1, 1, 1, 1, 3]",0.502279,0.497721,397
6,54.40858346,-5.923729959,"[2, 3, 3, 1, 1]",0.502279,0.497721,246
6,54.40858346,-5.923729959,"[2, 2, 2, 1, 3]",0.502279,0.497721,169
7,51.93254622,0.882274998,"[1, 1, 1, 3, 3]",0.817992,0.182008,319
7,51.93254622,0.882274998,"[2, 1, 3, 1, 1]",0.817992,0.182008,161
7,51.93254622,0.882274998,"[2, 1, 1, 1, 3]",0.817992,0.182008,374
7,51.93254622,0.882274998,"[1, 1, 3, 3, 1]",0.817992,0.182008,361
7,51.93254622,0.882274998,"[1, 2, 1, 2, 1]",0.817992,0.182008,233
8,52.88799315,0.45663006,"[2, 3, 3, 3, 3]",0.071223,0.928777,501
8,52.88799315,0.45663006,"[2, 1, 2, 2, 1]",0.071223,0.928777,54
8,52.88799315,0.45663006,"[1, 2, 1, 1, 1]",0.071223,0.928777,39
8,52.88799315,0.45663006,"[1, 1, 3, 3, 3]",0.071223,0.928777,59
8,52.88799315,0.45663006,"[2, 1, 2, 1, 1]",0.071223,0.928777,455
9,50.81152362,-4.326503845,"[1, 1, 1, 1, 3]",0.53287,0.46713,505
9,50.81152362,-4.326503845,"[1, 1, 2, 1, 1]",0.53287,0.46713,263
9,50.81152362,-4.326503845,"[1, 2, 1, 1, 3]",0.53287,0.46713,491
9,50.81152362,-4.326503845,"[2, 1, 2, 3, 1]",0.53287,0.46713,122
9,50.81152362,-4.326503845,"[2, 1, 2, 1, 3]",0.53287,0.46713,374
10,50.81223325,-4.329779052,"[1, 2, 2, 3, 1]",0.08122,0.91878,160
10,50.81223325,-4.329779052,"[1, 1, 3, 3, 1]",0.08122,0.91878,301
10,50.81223325,-4.329779052,"[1, 3, 1, 3, 1]",0.08122,0.91878,175
10,50.81223325,-4.329779052,"[1, 1, 1, 3, 1]",0.08122,0.91878,61
10,50.81223325,-4.329779052,"[1, 1, 2, 1, 1]",0.08122,0.91878,307
11,57.48903351,-3.190288587,"[1, 1, 1, 1, 3]",0.857605,0.142395,331
11,57.48903351,-3.190288587,"[1, 3, 1, 1, 1]",0.857605,0.142395,49
11,57.48903351,-3.190288587,"[2, 2, 2, 1, 3]",0.857605,0.142395,447
11,57.48903351,-3.190288587,"[2, 1, 3, 3, 3]",0.857605,0.142395,144
11,57.48903351,-3.190288587,"[2, 2, 2, 1, 1]",0.857605,0.142395,470
12,55.29640888,-1.623914939,"[1, 1, 1, 3, 3]",0.17468,0.82532,58
12,55.29640888,-1.623914939,"[1, 2, 1, 3, 3]",0.17468,0.82532,223
12,55.29640888,-1.623914939,"[1, 1, 1, 1, 3]",0.17468,0.82532,312
12,55.29640888,-1.623914939,"[1, 1, 3, 1, 1]",0.17468,0.82532,314
12,55.29640888,-1.623914939,"[1, 2, 2, 2, 1]",0.17468,0.82532,319
13,52.75866299,-0.835501735,"[1, 1, 1, 3, 1]",0.116282,0.883718,39
13,52.75866299,-0.835501735,"[2, 3, 1, 1, 1]",0.116282,0.883718,500
13,52.75866299,-0.835501735,"[2, 2, 1, 1, 3]",0.116282,0.883718,338
13,52.75866299,-0.835501735,"[1, 2, 3, 3, 3]",0.116282,0.883718,485
13,52.75866299,-0.835501735,"[2, 3, 3, 3, 3]",0.116282,0.883718,330
14,51.50976623,-1.025121604,"[2, 1, 1, 2, 3]",0.21871,0.78129,441
14,51.50976623,-1.025121604,"[1, 2, 1, 1, 1]",0.21871,0.78129,329
14,51.50976623,-1.025121604,"[1, 2, 1, 3, 3]",0.21871,0.78129,379
14,51.50976623,-1.025121604,"[2, 2, 1, 3, 1]",0.21871,0.78129,409
14,51.50976623,-1.025121604,"[2, 2, 3, 1, 1]",0.21871,0.78129,22
15,53.38241883,-4.522759637,"[1, 1, 1, 1, 3]",0.52591,0.47409,62
15,53.38241883,-4.522759637,"[1, 1, 3, 3, 1]",0.52591,0.47409,275
15,53.38241883,-4.522759637,"[2, 1, 3, 3, 3]",0.52591,0.47409,378
15,53.38241883,-4.522759637,"[2, 1, 3, 1, 1]",0.52591,0.47409,235
15,53.38241883,-4.522759637,"[2, 1, 1, 1, 3]",0.52591,0.47409,332
16,52.30984865,-3.499781927,"[1, 2, 1, 2, 3]",0.848569,0.151431,407
16,52.30984865,-3.499781927,"[1, 2, 1, 3, 3]",0.848569,0.151431,168
16,52.30984865,-3.499781927,"[2, 2, 1, 2, 1]",0.848569,0.151431,450
16,52.30984865,-3.499781927,"[2, 2, 1, 3, 3]",0.848569,0.151431,136
16,52.30984865,-3.499781927,"[2, 2, 2, 2, 1]",0.848569,0.151431,503
17,54.0831551,-2.305606689,"[1, 2, 2, 2, 1]",0.336339,0.663661,329
17,54.0831551,-2.305606689,"[2, 3, 3, 1, 1]",0.336339,0.663661,365
17,54.0831551,-2.305606689,"[2, 1, 3, 3, 1]",0.336339,0.663661,50
17,54.0831551,-2.305606689,"[2, 1, 2, 1, 1]",0.336339,0.663661,473
17,54.0831551,-2.305606689,"[2, 1, 1, 3, 3]",0.336339,0.663661,25
18,52.62512064,-1.61807644,"[1, 2, 3, 1, 1]",0.84638,0.15362,447
18,52.62512064,-1.61807644,"[1, 2, 1, 3, 1]",0.84638,0.15362,444
18,52.62512064,-1.61807644,"[2, 1, 3, 1, 3]",0.84638,0.15362,377
18,52.62512064,-1.61807644,"[1, 1, 2, 1, 1]",0.84638,0.15362,308
18,52.62512064,-1.61807644,"[1, 2, 1, 1, 3]",0.84638,0.15362,181
19,52.63196757,1.718213223,"[2, 1, 1, 1, 3]",0.939666,0.060334,496
19,52.63196757,1.718213223,"[2, 1, 1, 1, 1]",0.939666,0.060334,71
19,52.63196757,1.718213223,"[1, 1, 2, 1, 3]",0.939666,0.060334,390
19,52.63196757,1.718213223,"[1, 1, 3, 1, 1]",0.939666,0.060334,173
19,52.63196757,1.718213223,"[1, 1, 2, 3, 1]",0.939666,0.060334,118
20,54.44520739,-3.066819503,"[2, 1, 2, 1, 1]",0.814272,0.185728,130
20,54.44520739,-3.066819503,"[1, 1, 2, 3, 1]",0.814272,0.185728,381
20,54.44520739,-3.066819503,"[1, 1, 1, 1, 1]",0.814272,0.185728,409
20,54.44520739,-3.066819503,"[2, 1, 3, 1, 3]",0.814272,0.185728,175
20,54.44520739,-3.066819503,"[1, 1, 2, 1, 3]",0.814272,0.185728,433
21,55.2972036,-1.606044418,"[2, 1, 1, 1, 3]",0.19156,0.80844,306
21,55.2972036,-1.606044418,"[2, 1, 1, 2, 3]",0.19156,0.80844,241
21,55.2972036,-1.606044418,"[2, 3, 3, 1, 1]",0.19156,0.80844,379
21,55.2972036,-1.606044418,"[1, 1, 1, 3, 1]",0.19156,0.80844,7
21,55.2972036,-1.606044418,"[1, 1, 2, 3, 1]",0.19156,0.80844,185
22,50.64072056,-2.166082171,"[2, 2, 3, 3, 1]",0.53482,0.46518,42
22,50.64072056,-2.166082171,"[2, 1, 1, 1, 1]",0.53482,0.46518,318
22,50.64072056,-2.166082171,"[1, 1, 1, 3, 3]",0.53482,0.46518,162
22,50.64072056,-2.166082171,"[1, 2, 1, 1, 3]",0.53482,0.46518,278
22,50.64072056,-2.166082171,"[1, 1, 3, 1, 3]",0.53482,0.46518,333
23,51.84891253,-1.905423977,"[1, 1, 1, 3, 3]",0.14816,0.85184,336
23,51.84891253,-1.905423977,"[2, 1, 1, 1, 1]",0.14816,0.85184,374
23,51.84891253,-1.905423977,"[1, 2, 3, 3, 1]",0.14816,0.85184,143
23,51.84891253,-1.905423977,"[2, 3, 3, 1, 1]",0.14816,0.85184,167
23,51.84891253,-1.905423977,"[1, 2, 1, 3, 3]",0.14816,0.85184,151
24,54.89648413,-5.139432001,"[1, 3, 3, 3, 3]",0.499616,0.500384,250
24,54.89648413,-5.139432001,"[1, 2, 1, 1, 3]",0.499616,0.500384,451
24,54.89648413,-5.139432001,"[1, 1, 1, 2, 1]",0.499616,0.500384,376
24,54.89648413,-5.139432001,"[2, 1, 3, 3, 3]",0.499616,0.500384,98
24,54.89648413,-5.139432001,"[2, 1, 3, 1, 3]",0.499616,0.500384,2
25,52.76921503,-0.827237015,"[1, 2, 1, 3, 3]",0.95302,0.04698,364
25,52.76921503,-0.827237015,"[2, 3, 1, 3, 3]",0.95302,0.04698,463
25,52.76921503,-0.827237015,"[2, 1, 3, 1, 3]",0.95302,0.04698,141
25,52.76921503,-0.827237015,"[1, 2, 1, 2, 3]",0.95302,0.04698,238
25,52.76921503,-0.827237015,"[2, 3, 3, 3, 1]",0.95302,0.04698,270
26,55.30149766,-1.611183767,"[2, 2, 2, 2, 1]",0.29251,0.70749,410
26,55.30149766,-1.611183767,"[1, 1, 2, 3, 1]",0.29251,0.70749,185
26,55.30149766,-1.611183767,"[1, 3, 1, 1, 1]",0.29251,0.70749,206
26,55.30149766,-1.611183767,"[1, 2, 1, 3, 1]",0.29251,0.70749,446
26,55.30149766,-1.611183767,"[1, 1, 3, 1, 1]",0.29251,0.70749,67
27,55.2975882,-1.615492276,"[2, 1, 1, 2, 1]",0.72651,0.27349,102
27,55.2975882,-1.615492276,"[1, 1, 1, 3, 1]",0.72651,0.27349,283
27,55.2975882,-1.615492276,"[2, 2, 1, 3, 1]",0.72651,0.27349,47
27,55.2975882,-1.615492276,"[2, 1, 2, 3, 1]",0.72651,0.27349,151
27,55.2975882,-1.615492276,"[1, 3, 3, 3, 3]",0.72651,0.27349,14
28,55.30572272,-1.613967534,"[1, 1, 2, 1, 1]",0.68223,0.31777,164
28,55.30572272,-1.613967534,"[1, 1, 2, 1, 3]",0.68223,0.31777,208
28,55.30572272,-1.613967534,"[1, 2, 1, 3, 3]",0.68223,0.31777,481
28,55.30572272,-1.613967534,"[2, 1, 2, 1, 3]",0.68223,0.31777,204
28,55.30572272,-1.613967534,"[2, 2, 1, 3, 1]",0.68223,0.31777,453
29,50.85960038,-0.569301001,"[2, 2, 3, 3, 3]",0.308142,0.691858,364
29,50.85960038,-0.569301001,"[2, 1, 1, 3, 1]",0.308142,0.691858,25
29,50.85960038,-0.569301001,"[1, 1, 1, 3, 3]",0.308142,0.691858,123
29,50.85960038,-0.569301001,"[1, 2, 3, 1, 3]",0.308142,0.691858,146
29,50.85960038,-0.569301001,"[1, 2, 1, 1, 1]",0.308142,0.691858,370
30,54.30405943,-7.647463814,"[2, 2, 2, 2, 1]",0.94928,0.05072,378
30,54.30405943,-7.647463814,"[1, 1, 3, 1, 1]",0.94928,0.05072,185
30,54.30405943,-7.647463814,"[2, 3, 3, 1, 3]",0.94928,0.05072,45
30,54.30405943,-7.647463814,"[2, 2, 3, 3, 1]",0.94928,0.05072,66
30,54.30405943,-7.647463814,"[2, 1, 1, 1, 1]",0.94928,0.05072,388
31,51.51251903,-1.021624531,"[1, 2, 1, 3, 1]",0.75176,0.24824,275
31,51.51251903,-1.021624531,"[1, 2, 3, 1, 1]",0.75176,0.24824,125
31,51.51251903,-1.021624531,"[1, 3, 1, 3, 3]",0.75176,0.24824,77
31,51.51251903,-1.021624531,"[2, 1, 1, 1, 3]",0.75176,0.24824,466
31,51.51251903,-1.021624531,"[2, 3, 3, 1, 3]",0.75176,0.24824,488
32,51.88961596,-5.273550274,"[2, 2, 2, 1, 1]",0.119621,0.880379,232
32,51.88961596,-5.273550274,"[1, 2, 1, 3, 1]",0.119621,0.880379,110
32,51.88961596,-5.273550274,"[1, 1, 1, 3, 3]",0.119621,0.880379,156
32,51.88961596,-5.273550274,"[2, 1, 2, 2, 3]",0.119621,0.880379,58
32,51.88961596,-5.273550274,"[1, 1, 2, 3, 1]",0.119621,0.880379,18
33,55.2960212,-1.62120832,"[1, 2, 1, 1, 1]",0.171002,0.828998,278
33,55.2960212,-1.62120832,"[2, 2, 1, 2, 3]",0.171002,0.828998,405
33,55.2960212,-1.62120832,"[1, 2, 3, 3, 1]",0.171002,0.828998,3
33,55.2960212,-1.62120832,"[1, 2, 2, 3, 3]",0.171002,0.828998,470
33,55.2960212,-1.62120832,"[1, 3, 1, 3, 3]",0.171002,0.828998,11
34,56.35588082,-3.412622306,"[2, 2, 2, 1, 3]",0.846355,0.153645,80
34,56.35588082,-3.412622306,"[2, 1, 2, 1, 1]",0.846355,0.153645,136
34,56.35588082,-3.412622306,"[1, 1, 2, 1, 3]",0.846355,0.153645,418
34,56.35588082,-3.412622306,"[1, 2, 2, 3, 1]",0.846355,0.153645,366
34,56.35588082,-3.412622306,"[1, 1, 1, 2, 1]",0.846355,0.153645,138
35,52.76529213,-0.824321861,"[2, 2, 3, 3, 3]",0.60836,0.39164,286
35,52.76529213,-0.824321861,"[2, 3, 3, 1, 3]",0.60836,0.39164,297
35,52.76529213,-0.824321861,"[1, 3, 1, 1, 3]",0.60836,0.39164,216
35,52.76529213,-0.824321861,"[1, 2, 2, 2, 3]",0.60836,0.39164,342
35,52.76529213,-0.824321861,"[1, 3, 3, 1, 3]",0.60836,0.39164,231
36,54.42654698,-5.92053231,"[1, 1, 3, 3, 1]",0.525583,0.474417,47
36,54.42654698,-5.92053231,"[1, 1, 2, 3, 3]",0.525583,0.474417,240
36,54.42654698,-5.92053231,"[2, 3, 3, 3, 3]",0.525583,0.474417,471
36,54.42654698,-5.92053231,"[1, 2, 1, 2, 3]",0.525583,0.474417,83
36,54.42654698,-5.92053231,"[1, 1, 1, 1, 1]",0.525583,0.474417,183
37,53.30619084,-0.256159443,"[2, 1, 2, 3, 3]",0.359926,0.640074,403
37,53.30619084,-0.256159443,"[1, 3, 1, 3, 3]",0.359926,0.640074,442
37,53.30619084,-0.256159443,"[1, 3, 3, 1, 1]",0.359926,0.640074,273
37,53.30619084,-0.256159443,"[1, 1, 2, 1, 1]",0.359926,0.640074,166
37,53.30619084,-0.256159443,"[2, 3, 3, 1, 1]",0.359926,0.640074,318
38,50.21360459,-4.852509896,"[2, 3, 3, 1, 3]",0.061603,0.938397,39
38,50.21360459,-4.852509896,"[1, 3, 1, 3, 1]",0.061603,0.938397,155
38,50.21360459,-4.852509896,"[1, 3, 1, 1, 1]",0.061603,0.938397,503
38,50.21360459,-4.852509896,"[2, 2, 3, 1, 3]",0.061603,0.938397,269
38,50.21360459,-4.852509896,"[2, 3, 1, 1, 1]",0.061603,0.938397,2
39,52.3210702,-0.142337567,"[2, 1, 3, 3, 3]",0.40235,0.59765,416
39,52.3210702,-0.142337567,"[1, 1, 2, 3, 1]",0.40235,0.59765,494
39,52.3210702,-0.142337567,"[2, 2, 1, 2, 1]",0.40235,0.59765,186
39,52.3210702,-0.142337567,"[1, 2, 2, 3, 1]",0.40235,0.59765,370
39,52.3210702,-0.142337567,"[1, 1, 3, 3, 1]",0.40235,0.59765,277
40,56.32081774,-5.58172998,"[2, 1, 2, 3, 3]",0.159299,0.840701,412
40,56.32081774,-5.58172998,"[2, 1, 1, 3, 1]",0.159299,0.840701,115
40,56.32081774,-5.58172998,"[2, 2, 2, 2, 1]",0.159299,0.840701,384
40,56.32081774,-5.58172998,"[2, 2, 1, 1, 3]",0.159299,0.840701,320
40,56.32081774,-5.58172998,"[1, 1, 3, 1, 1]",0.159299,0.840701,203
41,55.17093613,-6.836410518,"[1, 1, 1, 3, 3]",0.20731,0.79269,159
41,55.17093613,-6.836410518,"[1, 1, 2, 1, 1]",0.20731,0.79269,326
41,55.17093613,-6.836410518,"[1, 2, 2, 3, 3]",0.20731,0.79269,262
41,55.17093613,-6.836410518,"[1, 2, 2, 1, 1]",0.20731,0.79269,117
41,55.17093613,-6.836410518,"[1, 1, 2, 3, 3]",0.20731,0.79269,511
42,55.93923581,-4.02070042,"[1, 2, 1, 3, 1]",0.877049,0.122951,83
42,55.93923581,-4.02070042,"[1, 2, 3, 3, 1]",0.877049,0.122951,155
42,55.93923581,-4.02070042,"[1, 1, 1, 3, 3]",0.877049,0.122951,64
42,55.93923581,-4.02070042,"[2, 2, 2, 1, 3]",0.877049,0.122951,175
42,55.93923581,-4.02070042,"[2, 1, 1, 1, 3]",0.877049,0.122951,366
43,51.8811069,-5.273775101,"[1, 2, 2, 3, 3]",0.48021,0.51979,320
43,51.8811069,-5.273775101,"[1, 1, 3, 1, 1]",0.48021,0.51979,322
43,51.8811069,-5.273775101,"[1, 2, 2, 1, 1]",0.48021,0.51979,304
43,51.8811069,-5.273775101,"[2, 3, 3, 3, 3]",0.48021,0.51979,365
43,51.8811069,-5.273775101,"[1, 1, 3, 3, 1]",0.48021,0.51979,197
44,50.34124003,-3.570433489,"[2, 1, 2, 1, 3]",0.71591,0.28409,61
