ModelID,ModelType,ArenaScore,ServerID
1,1,1,90
2,1,0.967,45
3,1,0.952,3
4,1,0.942,81
5,1,0.936,34
6,1,0.928,7
7,1,0.908,34
8,1,0.908,78
9,1,0.897,13
10,1,0.881,65
11,1,0.873,38
12,1,0.867,50
13,1,0.863,65
14,1,0.861,5
15,1,0.848,54
16,1,0.845,16
17,1,0.838,4
18,1,0.822,2
19,1,0.817,1
20,1,0.811,66
21,1,0.805,78
22,1,0.8,40
23,1,0.8,63
24,1,0.798,100
25,1,0.791,40
26,1,0.791,30
27,1,0.791,58
28,1,0.789,73
29,1,0.786,24
30,1,0.786,63
31,1,0.784,57
32,1,0.777,37
33,1,0.775,99
34,1,0.77,70
35,1,0.764,2
36,1,0.763,75
37,1,0.759,75
38,1,0.756,18
39,1,0.755,10
40,1,0.75,60
41,1,0.744,68
42,1,0.742,97
43,1,0.739,42
44,1,0.739,34
45,1,0.738,66
46,1,0.738,76
47,1,0.738,35
48,1,0.734,49
49,1,0.734,46
50,1,0.733,62
51,1,0.731,26
52,1,0.731,70
53,1,0.73,61
54,1,0.728,41
55,1,0.725,20
56,1,0.722,8
57,1,0.72,85
58,1,0.717,77
59,1,0.716,20
60,1,0.714,56
61,1,0.714,1
62,1,0.706,28
63,1,0.705,17
64,1,0.705,1
65,1,0.703,73
66,1,0.702,68
67,1,0.7,64
68,1,0.697,90
69,1,0.695,61
70,1,0.695,53
71,1,0.684,90
72,1,0.681,55
73,1,0.669,54
74,1,0.661,74
75,1,0.658,45
76,1,0.653,27
77,1,0.653,3
78,1,0.653,53
79,1,0.652,79
80,1,0.65,65
81,1,0.645,52
82,1,0.644,70
83,1,0.641,76
84,1,0.641,68
85,1,0.638,33
86,1,0.638,73
87,1,0.634,61
88,1,0.634,83
89,1,0.628,1
90,1,0.623,45
91,1,0.614,70
92,1,0.611,31
93,1,0.609,43
94,1,0.606,35
95,1,0.605,9
96,1,0.603,40
97,1,0.598,47
98,1,0.595,82
99,1,0.594,56
100,1,0.594,95
101,1,0.592,71
102,1,0.589,36
103,1,0.589,41
104,1,0.569,36
105,1,0.566,25
106,1,0.559,99
107,1,0.559,86
108,1,0.558,94
109,1,0.553,52
110,1,0.552,51
111,1,0.547,15
112,1,0.547,30
113,1,0.545,86
114,1,0.545,2
115,1,0.544,21
116,1,0.544,17
117,1,0.539,92
118,1,0.536,88
119,1,0.519,79
120,1,0.513,44
121,1,0.509,14
122,1,0.506,63
123,1,0.5,18
124,1,0.5,32
125,1,0.492,62
126,1,0.488,56
127,1,0.488,75
128,1,0.484,6
129,1,0.48,97
130,1,0.48,67
131,1,0.475,95
132,1,0.475,9
133,1,0.473,79
134,1,0.469,77
135,1,0.459,21
136,1,0.459,64
137,1,0.456,31
138,1,0.456,49
139,1,0.455,19
140,1,0.452,14
141,1,0.445,38
142,1,0.445,40
143,1,0.439,91
144,1,0.434,59
145,1,0.433,12
146,1,0.43,96
147,1,0.43,28
148,1,0.427,98
149,1,0.425,29
150,1,0.423,75
151,1,0.42,21
152,1,0.417,40
153,1,0.413,52
154,1,0.413,31
155,1,0.411,71
156,1,0.406,76
157,1,0.398,88
158,1,0.397,58
159,1,0.388,87
160,1,0.384,75
161,1,0.381,82
162,1,0.38,95
163,1,0.38,40
164,1,0.378,62
165,1,0.372,95
166,1,0.372,39
167,1,0.372,28
168,1,0.369,86
169,1,0.367,23
170,1,0.366,60
171,1,0.347,17
172,1,0.341,67
173,1,0.338,18
174,1,0.327,62
175,1,0.322,15
176,1,0.319,31
177,1,0.297,95
178,1,0.295,12
179,1,0.259,21
180,1,0.244,10
181,1,0.208,4
182,1,0.202,36
183,1,0.195,18
184,1,0.192,84
185,1,0.159,11
186,1,0.147,13
187,1,0.125,62
188,1,0.108,31
189,1,0.064,40
190,1,0.036,12
191,1,0,21
192,2,0.865,13
193,2,0.835,51
194,2,0.83,37
195,2,0.828,52
196,2,0.813,3
197,2,0.775,97
198,2,0.754,62
199,2,0.718,79
200,2,0.691,16
201,2,0.656,36
202,2,0.599,93
203,2,0.416,74
204,2,0.41,48
205,2,0.131,17
206,2,0.103,40
207,2,0.891,49
208,2,0.871,65
209,2,0.821,17
210,2,0.812,92
211,2,0.762,41
212,2,0.658,27
213,2,0.624,67
214,2,0.595,6
215,2,0.594,83
216,2,0.576,83
217,2,0.574,60
218,2,0.417,89
219,2,0.39,6
220,2,0.247,5
221,2,0.067,49
222,3,0.417,22
223,3,0.417,72
224,3,0.615,62
225,3,0.739,48
226,3,0.835,3
227,3,0.759,22
