ModelID,Model,ModelType,ArenaScore,ServerID
1,Gemini-2.5-Pro-Exp-03-25,1,1,4
2,o3-2025-04-16,1,0.967,2
3,ChatGPT-4o-latest (2025-03-26),1,0.952,5
4,Grok-3-Preview-02-24,1,0.942,7
5,GPT-4.5-Preview,1,0.936,16
6,Gemini-2.5-Flash-Preview-04-17,1,0.928,19
7,Gemini-2.0-Flash-Thinking-Exp-01-21,1,0.908,5
8,Gemini-2.0-Pro-Exp-02-05,1,0.908,24
9,DeepSeek-V3-0324,1,0.897,2
10,GPT-4.1-2025-04-14,1,0.881,11
11,DeepSeek-R1,1,0.873,15
12,Gemini-2.0-Flash-001,1,0.867,7
13,o4-mini-2025-04-16,1,0.863,19
14,o1-2024-12-17,1,0.861,9
15,Gemma-3-27B-it,1,0.848,5
16,Qwen2.5-Max,1,0.845,13
17,o1-preview,1,0.838,2
18,o3-mini-high,1,0.822,11
19,GPT-4.1-mini-2025-04-14,1,0.817,15
20,DeepSeek-V3,1,0.811,7
21,QwQ-32B,1,0.805,17
22,Gemini-2.0-Flash-Lite,1,0.8,19
23,GLM-4-Plus-0111,1,0.8,5
24,Qwen-Plus-0125,1,0.798,20
25,Command A (03-2025),1,0.791,2
26,o3-mini,1,0.791,11
27,Step-2-16K-Exp,1,0.791,15
28,o1-mini,1,0.789,7
29,Gemini-1.5-Pro-002,1,0.786,16
30,Hunyuan-TurboS-20250226,1,0.786,19
31,Claude 3.7 Sonnet (thinking-32k),1,0.784,5
32,Llama-3.3-Nemotron-Super-49B-v1,1,0.777,24
33,Hunyuan-Turbo-0110,1,0.775,2
34,Claude 3.7 Sonnet,1,0.77,20
35,Grok-2-08-13,1,0.764,9
36,Yi-Lightning,1,0.763,7
37,GPT-4o-2024-05-13,1,0.759,16
38,Claude 3.5 Sonnet (20241022),1,0.756,19
39,Qwen2.5-plus-1127,1,0.755,5
40,Deepseek-v2.5-1210,1,0.75,22
41,Athene-v2-Chat-72B,1,0.744,2
42,GLM-4-Plus,1,0.742,11
43,Hunyuan-Large-2025-02-10,1,0.739,25
44,GPT-4o-mini-2024-07-18,1,0.739,27
45,Gemini-1.5-Flash-002,1,0.738,27
46,Llama-4-Maverick-17B-128E-Instruct,1,0.738,19
47,GPT-4.1-nano-2025-04-14,1,0.738,5
48,Meta-Llama-3.1-405B-Instruct-bf16,1,0.734,24
49,Llama-3.1-Nemotron-70B-Instruct,1,0.734,2
50,Claude 3.5 Sonnet (20240620),1,0.733,11
51,Meta-Llama-3.1-405B-Instruct-fp8,1,0.731,30
52,Gemini Advanced App (2024-05-14),1,0.731,7
53,Grok-2-Mini-08-13,1,0.73,27
54,GPT-4o-2024-08-06,1,0.728,19
55,Qwen-Max-0919,1,0.725,5
56,Hunyuan-Standard-2025-02-10,1,0.722,24
57,Gemini-1.5-Pro-001,1,0.72,2
58,Deepseek-v2.5,1,0.717,11
59,Qwen2.5-72B-Instruct,1,0.716,9
60,Llama-3.3-70B-Instruct,1,0.714,7
61,GPT-4-Turbo-2024-04-09,1,0.714,16
62,Mistral-Large-2407,1,0.706,19
63,Athene-70B,1,0.705,8
64,GPT-4-1106-preview,1,0.705,24
65,Mistral-Large-2411,1,0.703,4
66,Meta-Llama-3.1-70B-Instruct,1,0.702,20
67,Claude 3 Opus,1,0.7,9
68,GPT-4-0125-preview,1,0.697,7
69,Amazon Nova Pro 1.0,1,0.695,16
70,Llama-3.1-Tulu-3-70B,1,0.695,19
71,Claude 3.5 Haiku (20241022),1,0.684,8
72,Reka-Core-20240904,1,0.681,24
73,Gemini-1.5-Flash-001,1,0.669,4
74,Jamba-1.5-Large,1,0.661,20
75,Gemma-2-27B-it,1,0.658,15
76,Amazon Nova Lite 1.0,1,0.653,7
77,Qwen2.5-Coder-32B-Instruct,1,0.653,16
78,Mistral-Small-24B-Instruct-2501,1,0.653,19
79,Gemma-2-9B-it-SimPO,1,0.652,8
80,Command R+ (08-2024),1,0.65,24
81,Gemini-1.5-Flash-8B-001,1,0.645,4
82,Llama-3.1-Nemotron-51B-Instruct,1,0.644,20
83,Aya-Expanse-32B,1,0.641,15
84,Nemotron-4-340B-Instruct,1,0.641,7
85,Llama-3-70B-Instruct,1,0.638,25
86,GLM-4-0520,1,0.638,17
87,Reka-Flash-20240904,1,0.634,30
88,Phi-4,1,0.634,24
