UserId,La,Lo,route,w1,w2,size
1,45.37079464,9.126539134,"[2, 2, 1, 1, 1]",0.61002,0.38998,507
1,45.37079464,9.126539134,"[2, 1, 2, 3, 3]",0.61002,0.38998,1
1,45.37079464,9.126539134,"[2, 1, 3, 3, 1]",0.61002,0.38998,95
1,45.37079464,9.126539134,"[2, 2, 3, 3, 1]",0.61002,0.38998,299
1,45.37079464,9.126539134,"[2, 2, 1, 1, 3]",0.61002,0.38998,274
2,45.50406376,9.144202785,"[2, 2, 2, 3, 1]",0.123598,0.876402,202
2,45.50406376,9.144202785,"[1, 1, 3, 1, 1]",0.123598,0.876402,435
2,45.50406376,9.144202785,"[2, 3, 3, 3, 3]",0.123598,0.876402,453
2,45.50406376,9.144202785,"[1, 1, 3, 3, 3]",0.123598,0.876402,340
2,45.50406376,9.144202785,"[2, 2, 1, 1, 3]",0.123598,0.876402,63
3,45.47392653,9.12519828,"[2, 1, 1, 3, 3]",0.544709,0.455291,238
3,45.47392653,9.12519828,"[1, 2, 2, 1, 3]",0.544709,0.455291,282
3,45.47392653,9.12519828,"[2, 1, 3, 1, 3]",0.544709,0.455291,27
3,45.47392653,9.12519828,"[1, 1, 1, 1, 1]",0.544709,0.455291,77
3,45.47392653,9.12519828,"[2, 1, 1, 1, 3]",0.544709,0.455291,144
4,45.56487653,9.215399521,"[1, 1, 2, 2, 1]",0.85355,0.14645,8
4,45.56487653,9.215399521,"[2, 1, 3, 1, 1]",0.85355,0.14645,356
4,45.56487653,9.215399521,"[2, 1, 1, 1, 3]",0.85355,0.14645,243
4,45.56487653,9.215399521,"[2, 3, 3, 3, 1]",0.85355,0.14645,375
4,45.56487653,9.215399521,"[1, 1, 3, 3, 1]",0.85355,0.14645,219
5,45.43566437,9.175917378,"[2, 3, 3, 3, 1]",0.44117,0.55883,291
5,45.43566437,9.175917378,"[2, 3, 3, 3, 3]",0.44117,0.55883,242
5,45.43566437,9.175917378,"[2, 1, 1, 1, 1]",0.44117,0.55883,301
5,45.43566437,9.175917378,"[1, 1, 1, 1, 3]",0.44117,0.55883,64
5,45.43566437,9.175917378,"[1, 1, 1, 1, 1]",0.44117,0.55883,368
6,45.43083585,9.08506352,"[2, 2, 3, 3, 3]",0.504579,0.495421,414
6,45.43083585,9.08506352,"[1, 1, 2, 3, 3]",0.504579,0.495421,267
6,45.43083585,9.08506352,"[1, 1, 1, 1, 3]",0.504579,0.495421,396
6,45.43083585,9.08506352,"[2, 3, 3, 1, 1]",0.504579,0.495421,245
6,45.43083585,9.08506352,"[2, 2, 2, 1, 3]",0.504579,0.495421,168
7,45.49437043,9.273239417,"[1, 1, 1, 3, 3]",0.820292,0.179708,318
7,45.49437043,9.273239417,"[2, 1, 3, 1, 1]",0.820292,0.179708,160
7,45.49437043,9.273239417,"[2, 1, 1, 1, 3]",0.820292,0.179708,373
7,45.49437043,9.273239417,"[1, 1, 3, 3, 1]",0.820292,0.179708,360
7,45.49437043,9.273239417,"[1, 2, 1, 2, 1]",0.820292,0.179708,232
8,45.45870088,9.111817047,"[2, 3, 3, 3, 3]",0.073523,0.926477,500
8,45.45870088,9.111817047,"[2, 1, 2, 2, 1]",0.073523,0.926477,53
8,45.45870088,9.111817047,"[1, 2, 1, 1, 1]",0.073523,0.926477,38
8,45.45870088,9.111817047,"[1, 1, 3, 3, 3]",0.073523,0.926477,58
8,45.45870088,9.111817047,"[2, 1, 2, 1, 1]",0.073523,0.926477,454
9,45.50058643,9.246667886,"[1, 1, 1, 1, 3]",0.53517,0.46483,504
9,45.50058643,9.246667886,"[1, 1, 2, 1, 1]",0.53517,0.46483,262
9,45.50058643,9.246667886,"[1, 2, 1, 1, 3]",0.53517,0.46483,490
9,45.50058643,9.246667886,"[2, 1, 2, 3, 1]",0.53517,0.46483,121
9,45.50058643,9.246667886,"[2, 1, 2, 1, 3]",0.53517,0.46483,373
10,45.51842518,9.15249554,"[1, 2, 2, 3, 1]",0.08352,0.91648,159
10,45.51842518,9.15249554,"[1, 1, 3, 3, 1]",0.08352,0.91648,300
10,45.51842518,9.15249554,"[1, 3, 1, 3, 1]",0.08352,0.91648,174
10,45.51842518,9.15249554,"[1, 1, 1, 3, 1]",0.08352,0.91648,60
10,45.51842518,9.15249554,"[1, 1, 2, 1, 1]",0.08352,0.91648,306
11,45.51374851,9.216347631,"[1, 1, 1, 1, 3]",0.859905,0.140095,330
11,45.51374851,9.216347631,"[1, 3, 1, 1, 1]",0.859905,0.140095,48
11,45.51374851,9.216347631,"[2, 2, 2, 1, 3]",0.859905,0.140095,446
11,45.51374851,9.216347631,"[2, 1, 3, 3, 3]",0.859905,0.140095,143
11,45.51374851,9.216347631,"[2, 2, 2, 1, 1]",0.859905,0.140095,469
12,45.43262331,9.218383448,"[1, 1, 1, 3, 3]",0.17698,0.82302,57
12,45.43262331,9.218383448,"[1, 2, 1, 3, 3]",0.17698,0.82302,222
12,45.43262331,9.218383448,"[1, 1, 1, 1, 3]",0.17698,0.82302,311
12,45.43262331,9.218383448,"[1, 1, 3, 1, 1]",0.17698,0.82302,313
12,45.43262331,9.218383448,"[1, 2, 2, 2, 1]",0.17698,0.82302,318
13,45.49536035,9.134384967,"[1, 1, 1, 3, 1]",0.118582,0.881418,38
13,45.49536035,9.134384967,"[2, 3, 1, 1, 1]",0.118582,0.881418,499
13,45.49536035,9.134384967,"[2, 2, 1, 1, 3]",0.118582,0.881418,337
13,45.49536035,9.134384967,"[1, 2, 3, 3, 3]",0.118582,0.881418,484
13,45.49536035,9.134384967,"[2, 3, 3, 3, 3]",0.118582,0.881418,329
14,45.52554172,9.219286656,"[2, 1, 1, 2, 3]",0.22101,0.77899,440
14,45.52554172,9.219286656,"[1, 2, 1, 1, 1]",0.22101,0.77899,328
14,45.52554172,9.219286656,"[1, 2, 1, 3, 3]",0.22101,0.77899,378
14,45.52554172,9.219286656,"[2, 2, 1, 3, 1]",0.22101,0.77899,408
14,45.52554172,9.219286656,"[2, 2, 3, 1, 1]",0.22101,0.77899,21
15,45.42380664,9.137598756,"[1, 1, 1, 1, 3]",0.52821,0.47179,61
15,45.42380664,9.137598756,"[1, 1, 3, 3, 1]",0.52821,0.47179,274
15,45.42380664,9.137598756,"[2, 1, 3, 3, 3]",0.52821,0.47179,377
15,45.42380664,9.137598756,"[2, 1, 3, 1, 1]",0.52821,0.47179,234
15,45.42380664,9.137598756,"[2, 1, 1, 1, 3]",0.52821,0.47179,331
16,45.49004145,9.08134411,"[1, 2, 1, 2, 3]",0.850869,0.149131,406
16,45.49004145,9.08134411,"[1, 2, 1, 3, 3]",0.850869,0.149131,167
16,45.49004145,9.08134411,"[2, 2, 1, 2, 1]",0.850869,0.149131,449
16,45.49004145,9.08134411,"[2, 2, 1, 3, 3]",0.850869,0.149131,135
16,45.49004145,9.08134411,"[2, 2, 2, 2, 1]",0.850869,0.149131,502
17,45.5047911,9.118630118,"[1, 2, 2, 2, 1]",0.338639,0.661361,328
17,45.5047911,9.118630118,"[2, 3, 3, 1, 1]",0.338639,0.661361,364
17,45.5047911,9.118630118,"[2, 1, 3, 3, 1]",0.338639,0.661361,49
17,45.5047911,9.118630118,"[2, 1, 2, 1, 1]",0.338639,0.661361,472
17,45.5047911,9.118630118,"[2, 1, 1, 3, 3]",0.338639,0.661361,24
18,45.56065686,9.250779922,"[1, 2, 3, 1, 1]",0.84868,0.15132,446
18,45.56065686,9.250779922,"[1, 2, 1, 3, 1]",0.84868,0.15132,443
18,45.56065686,9.250779922,"[2, 1, 3, 1, 3]",0.84868,0.15132,376
18,45.56065686,9.250779922,"[1, 1, 2, 1, 1]",0.84868,0.15132,307
18,45.56065686,9.250779922,"[1, 2, 1, 1, 3]",0.84868,0.15132,180
19,45.48382766,9.225504812,"[2, 1, 1, 1, 3]",0.941966,0.058034,495
19,45.48382766,9.225504812,"[2, 1, 1, 1, 1]",0.941966,0.058034,70
19,45.48382766,9.225504812,"[1, 1, 2, 1, 3]",0.941966,0.058034,389
19,45.48382766,9.225504812,"[1, 1, 3, 1, 1]",0.941966,0.058034,172
19,45.48382766,9.225504812,"[1, 1, 2, 3, 1]",0.941966,0.058034,117
20,45.46591134,9.209548778,"[2, 1, 2, 1, 1]",0.816572,0.183428,129
20,45.46591134,9.209548778,"[1, 1, 2, 3, 1]",0.816572,0.183428,380
20,45.46591134,9.209548778,"[1, 1, 1, 1, 1]",0.816572,0.183428,408
20,45.46591134,9.209548778,"[2, 1, 3, 1, 3]",0.816572,0.183428,174
20,45.46591134,9.209548778,"[1, 1, 2, 1, 3]",0.816572,0.183428,432
21,45.48386305,9.267671395,"[2, 1, 1, 1, 3]",0.19386,0.80614,305
21,45.48386305,9.267671395,"[2, 1, 1, 2, 3]",0.19386,0.80614,240
21,45.48386305,9.267671395,"[2, 3, 3, 1, 1]",0.19386,0.80614,378
21,45.48386305,9.267671395,"[1, 1, 1, 3, 1]",0.19386,0.80614,6
21,45.48386305,9.267671395,"[1, 1, 2, 3, 1]",0.19386,0.80614,184
22,45.38362006,9.113378335,"[2, 2, 3, 3, 1]",0.53712,0.46288,41
22,45.38362006,9.113378335,"[2, 1, 1, 1, 1]",0.53712,0.46288,317
22,45.38362006,9.113378335,"[1, 1, 1, 3, 3]",0.53712,0.46288,161
22,45.38362006,9.113378335,"[1, 2, 1, 1, 3]",0.53712,0.46288,277
22,45.38362006,9.113378335,"[1, 1, 3, 1, 3]",0.53712,0.46288,332
23,45.52899522,9.240002637,"[1, 1, 1, 3, 3]",0.15046,0.84954,335
23,45.52899522,9.240002637,"[2, 1, 1, 1, 1]",0.15046,0.84954,373
23,45.52899522,9.240002637,"[1, 2, 3, 3, 1]",0.15046,0.84954,142
23,45.52899522,9.240002637,"[2, 3, 3, 1, 1]",0.15046,0.84954,166
23,45.52899522,9.240002637,"[1, 2, 1, 3, 3]",0.15046,0.84954,150
24,45.39071287,9.158352966,"[1, 3, 3, 3, 3]",0.501916,0.498084,249
24,45.39071287,9.158352966,"[1, 2, 1, 1, 3]",0.501916,0.498084,450
24,45.39071287,9.158352966,"[1, 1, 1, 2, 1]",0.501916,0.498084,375
24,45.39071287,9.158352966,"[2, 1, 3, 3, 3]",0.501916,0.498084,97
24,45.39071287,9.158352966,"[2, 1, 3, 1, 3]",0.501916,0.498084,1
25,45.55494123,9.247133915,"[1, 2, 1, 3, 3]",0.95532,0.04468,363
25,45.55494123,9.247133915,"[2, 3, 1, 3, 3]",0.95532,0.04468,462
25,45.55494123,9.247133915,"[2, 1, 3, 1, 3]",0.95532,0.04468,140
25,45.55494123,9.247133915,"[1, 2, 1, 2, 3]",0.95532,0.04468,237
25,45.55494123,9.247133915,"[2, 3, 3, 3, 1]",0.95532,0.04468,269
26,45.54361814,9.257756289,"[2, 2, 2, 2, 1]",0.29481,0.70519,409
26,45.54361814,9.257756289,"[1, 1, 2, 3, 1]",0.29481,0.70519,184
26,45.54361814,9.257756289,"[1, 3, 1, 1, 1]",0.29481,0.70519,205
26,45.54361814,9.257756289,"[1, 2, 1, 3, 1]",0.29481,0.70519,445
26,45.54361814,9.257756289,"[1, 1, 3, 1, 1]",0.29481,0.70519,66
27,45.40686203,9.130422657,"[2, 1, 1, 2, 1]",0.72881,0.27119,101
27,45.40686203,9.130422657,"[1, 1, 1, 3, 1]",0.72881,0.27119,282
27,45.40686203,9.130422657,"[2, 2, 1, 3, 1]",0.72881,0.27119,46
27,45.40686203,9.130422657,"[2, 1, 2, 3, 1]",0.72881,0.27119,150
27,45.40686203,9.130422657,"[1, 3, 3, 3, 3]",0.72881,0.27119,13
28,45.46099761,9.257458578,"[1, 1, 2, 1, 1]",0.68453,0.31547,163
28,45.46099761,9.257458578,"[1, 1, 2, 1, 3]",0.68453,0.31547,207
28,45.46099761,9.257458578,"[1, 2, 1, 3, 3]",0.68453,0.31547,480
28,45.46099761,9.257458578,"[2, 1, 2, 1, 3]",0.68453,0.31547,203
28,45.46099761,9.257458578,"[2, 2, 1, 3, 1]",0.68453,0.31547,452
29,45.3867334,9.269218892,"[2, 2, 3, 3, 3]",0.310442,0.689558,363
29,45.3867334,9.269218892,"[2, 1, 1, 3, 1]",0.310442,0.689558,24
29,45.3867334,9.269218892,"[1, 1, 1, 3, 3]",0.310442,0.689558,122
29,45.3867334,9.269218892,"[1, 2, 3, 1, 3]",0.310442,0.689558,145
29,45.3867334,9.269218892,"[1, 2, 1, 1, 1]",0.310442,0.689558,369
30,45.44275198,9.262016464,"[2, 2, 2, 2, 1]",0.95158,0.04842,377
30,45.44275198,9.262016464,"[1, 1, 3, 1, 1]",0.95158,0.04842,184
30,45.44275198,9.262016464,"[2, 3, 3, 1, 3]",0.95158,0.04842,44
30,45.44275198,9.262016464,"[2, 2, 3, 3, 1]",0.95158,0.04842,65
30,45.44275198,9.262016464,"[2, 1, 1, 1, 1]",0.95158,0.04842,387
31,45.4968427,9.183979894,"[1, 2, 1, 3, 1]",0.75406,0.24594,274
31,45.4968427,9.183979894,"[1, 2, 3, 1, 1]",0.75406,0.24594,124
31,45.4968427,9.183979894,"[1, 3, 1, 3, 3]",0.75406,0.24594,76
31,45.4968427,9.183979894,"[2, 1, 1, 1, 3]",0.75406,0.24594,465
31,45.4968427,9.183979894,"[2, 3, 3, 1, 3]",0.75406,0.24594,487
32,45.42772337,9.117545978,"[2, 2, 2, 1, 1]",0.121921,0.878079,231
32,45.42772337,9.117545978,"[1, 2, 1, 3, 1]",0.121921,0.878079,109
32,45.42772337,9.117545978,"[1, 1, 1, 3, 3]",0.121921,0.878079,155
32,45.42772337,9.117545978,"[2, 1, 2, 2, 3]",0.121921,0.878079,57
32,45.42772337,9.117545978,"[1, 1, 2, 3, 1]",0.121921,0.878079,17
33,45.39960627,9.172408337,"[1, 2, 1, 1, 1]",0.173302,0.826698,277
33,45.39960627,9.172408337,"[2, 2, 1, 2, 3]",0.173302,0.826698,404
33,45.39960627,9.172408337,"[1, 2, 3, 3, 1]",0.173302,0.826698,2
33,45.39960627,9.172408337,"[1, 2, 2, 3, 3]",0.173302,0.826698,469
33,45.39960627,9.172408337,"[1, 3, 1, 3, 3]",0.173302,0.826698,10
34,45.39592631,9.228372671,"[2, 2, 2, 1, 3]",0.848655,0.151345,79
34,45.39592631,9.228372671,"[2, 1, 2, 1, 1]",0.848655,0.151345,135
34,45.39592631,9.228372671,"[1, 1, 2, 1, 3]",0.848655,0.151345,417
34,45.39592631,9.228372671,"[1, 2, 2, 3, 1]",0.848655,0.151345,365
34,45.39592631,9.228372671,"[1, 1, 1, 2, 1]",0.848655,0.151345,137
35,45.54623326,9.145603119,"[2, 2, 3, 3, 3]",0.61066,0.38934,285
35,45.54623326,9.145603119,"[2, 3, 3, 1, 3]",0.61066,0.38934,296
35,45.54623326,9.145603119,"[1, 3, 1, 1, 3]",0.61066,0.38934,215
35,45.54623326,9.145603119,"[1, 2, 2, 2, 3]",0.61066,0.38934,341
35,45.54623326,9.145603119,"[1, 3, 3, 1, 3]",0.61066,0.38934,230
36,45.48189382,9.116393089,"[1, 1, 3, 3, 1]",0.527883,0.472117,46
36,45.48189382,9.116393089,"[1, 1, 2, 3, 3]",0.527883,0.472117,239
36,45.48189382,9.116393089,"[2, 3, 3, 3, 3]",0.527883,0.472117,470
36,45.48189382,9.116393089,"[1, 2, 1, 2, 3]",0.527883,0.472117,82
36,45.48189382,9.116393089,"[1, 1, 1, 1, 1]",0.527883,0.472117,182
37,45.39969335,9.142653444,"[2, 1, 2, 3, 3]",0.362226,0.637774,402
37,45.39969335,9.142653444,"[1, 3, 1, 3, 3]",0.362226,0.637774,441
37,45.39969335,9.142653444,"[1, 3, 3, 1, 1]",0.362226,0.637774,272
37,45.39969335,9.142653444,"[1, 1, 2, 1, 1]",0.362226,0.637774,165
37,45.39969335,9.142653444,"[2, 3, 3, 1, 1]",0.362226,0.637774,317
38,45.44878909,9.25943511,"[2, 3, 3, 1, 3]",0.063903,0.936097,38
38,45.44878909,9.25943511,"[1, 3, 1, 3, 1]",0.063903,0.936097,154
38,45.44878909,9.25943511,"[1, 3, 1, 1, 1]",0.063903,0.936097,502
