episode,communication_overhead,overhead_category
0,0.3256512089932989,Low
1,2.506440501565609,High
2,2.407304514450271,High
3,0.7806833452848216,Low
4,2.285723450284954,High
5,2.531887792362723,High
6,1.180397174234469,Low
7,0.6860460301435288,Low
8,1.130837737865545,Low
9,1.1666665224280255,Low
10,0.9015496928661462,Low
11,1.8702428499901989,High
12,0.7060533059173613,Low
13,0.06556038867742217,Low
14,1.5160026054591234,High
15,0.06556038867742217,Low
16,1.552244145256715,High
17,0.3158638472592363,Low
18,1.3514833434719622,Low
19,0.17039873793504584,Low
20,1.1463306777918603,Low
21,1.1463368803328087,Low
22,0.9467116073772502,Low
23,1.1463368803328087,Low
24,0.31517182095952595,Low
25,1.8408837399599807,High
26,0.9015379733108402,Low
27,1.7046209834200527,High
28,0.8563541264069872,Low
29,1.9725057014874636,High
30,2.4107964264361064,High
31,1.4016330816588145,High
32,0.7654319160141687,Low
33,0.3254114093044307,Low
34,2.39309412140845,High
35,0.7214810016197672,Low
36,1.506427205736855,High
37,1.1711297429083374,Low
38,0.17554430383616682,Low
39,2.5131158925266632,High
40,1.3218859735571076,Low
41,0.36565361203717406,Low
42,1.3865206904899483,High
43,1.6664512799344826,High
44,1.1867432002912683,Low
45,1.6966925068304923,High
46,1.8409034276163956,High
47,0.11526446916994851,Low
48,0.5007201773433883,Low
49,0.7214810016197672,Low
50,2.258122055963734,High
51,0.36561994266392706,Low
52,2.39309412140845,High
53,0.9903519422487641,Low
54,1.8702428499901989,High
55,0.36561994266392706,Low
56,0.3256512089932989,Low
57,1.712497366404655,High
58,1.7124634559528182,High
59,1.512290542069025,High
60,1.8702428499901989,High
61,0.9015488133254992,Low
62,2.472487709630015,High
63,2.1312844775036837,High
64,2.400368169725764,High
65,2.321258728732297,High
66,0.3254114093044307,Low
67,1.3115958638913803,Low
68,1.3413025671390328,Low
69,1.8868995153590435,High
70,1.512290542069025,High
71,2.5179963516670787,High
72,1.6318148502346872,High
73,1.8166464783693708,High
74,2.321258728732297,High
75,0.7702848549708294,Low
76,2.5730545439618857,High
77,1.6064364922093377,High
78,1.3218655363173397,Low
79,0.7113954909924929,Low
80,1.130837737865545,Low
81,0.9702975485876421,Low
82,0.08023647140926789,Low
83,1.6709845981135547,High
84,0.9467043756035339,Low
85,1.9273936107359664,High
86,1.7159709599687107,High
87,1.2263827274314576,Low
88,1.1666665224280255,Low
89,0.8563551688614999,Low
90,0.06556115987820468,Low
91,1.741460175447227,High
92,0.09015774870149562,Low
93,0.14069272932787272,Low
94,1.4768398557695628,High
95,1.8281173925240561,High
96,1.2170418205264029,Low
97,2.3477542632841013,High
98,2.17242070254452,High
99,2.5028911385830703,High
100,1.506067610726571,High
101,2.282904135502139,High
102,0.5206526691778867,Low
103,1.2107521615387795,Low
104,1.401634877368944,High
105,0.7209888166149855,Low
106,2.3477542632841013,High
107,2.4272038009799313,High
108,0.03023454852721328,Low
109,0.08023824029740155,Low
110,0.10543599246768053,Low
111,0.35080686677383094,Low
112,1.2063584283716757,Low
113,0.10543843308635394,Low
114,2.0774949462878993,High
115,1.0066892527472062,Low
116,1.3815322608001028,High
117,2.531887792362723,High
118,0.3904381036687188,Low
119,2.407304514450271,High
120,1.1867432002912683,Low
121,0.10543599246768053,Low
122,1.3667215346908685,Low
123,1.2415401812172877,Low
124,1.7046209834200527,High
125,0.7209891871902909,Low
126,0.9906165815886965,Low
127,0.5359764596468741,Low
128,0.2703807516750122,Low
129,2.5710609320646833,High
130,1.9971456031348263,High
131,1.3815322608001028,High
132,1.206401221457617,Low
133,1.2263512271276373,Low
134,0.5359764596468741,Low
135,1.0214627833688472,Low
136,1.4424972262715456,High
137,0.7159947194345369,Low
138,2.472487709630015,High
139,0.3851740979061576,Low
140,0.7114001402240513,Low
141,1.5071030525650981,High
142,1.9725057014874636,High
143,0.5007201773433883,Low
144,2.258122055963734,High
145,1.385681150118803,High
146,2.5730545439618857,High
147,2.3477542632841013,High
148,1.6318241919751961,High
149,0.901138174114693,Low
150,1.9119102233945282,High
151,2.5710625039085926,High
152,1.8281173925240561,High
153,2.5710609320646833,High
154,2.282904135502139,High
155,1.4315527125780951,High
156,1.1308286092799171,Low
157,2.285723450284954,High
158,1.0362003724732,Low
159,1.3368899607752875,Low
160,1.180397174234469,Low
161,2.391764452523059,High
162,0.7959406883091263,Low
163,1.381529674877923,High
164,1.8409034276163956,High
165,2.13187459159107,High
166,0.7959290900767206,Low
167,1.371958889437986,Low
168,2.5179963516670787,High
169,2.3477542632841013,High
170,0.8101203954251673,Low
171,1.552244145256715,High
172,1.6065352979486793,High
173,1.381529674877923,High
174,1.6967019830403172,High
175,1.436213395838547,High
176,1.512290542069025,High
177,0.5359764596468742,Low
178,2.3906286328685553,High
179,2.498581423511496,High
180,2.3685214768451925,High
181,2.508143189531043,High
182,1.3368899607752873,Low
183,0.17039873793504584,Low
184,2.0721543220232226,High
185,0.7702725339595253,Low
186,1.506067610726571,High
187,0.6860460301435288,Low
188,2.4985714240727024,High
189,0.8560006094445348,Low
190,0.7159947194345369,Low
191,1.8281173925240561,High
192,1.9971456031348263,High
193,1.436213395838547,High
194,1.7106489628867925,High
195,0.9011401428524155,Low
196,0.7806589744111699,Low
197,1.7124634559528182,High
198,2.407304514450271,High
199,1.6709845981135545,High
