episode,reward,reward_category
0,32.006886883322956,High
1,31.175214947634114,Low
2,32.74986048583244,High
3,32.988002337311706,High
4,33.084617874837164,High
5,18.725834706958892,Low
6,31.17516451825763,Low
7,33.472124014096615,High
8,31.453735082502117,Low
9,33.57871465977412,High
10,33.511855019112126,High
11,34.00222686277861,High
12,32.972232372395595,High
13,31.62701788105434,Low
14,19.67130751868865,Low
15,33.60400792807021,High
16,33.873027642166555,High
17,33.66489493067684,High
18,32.13335765421927,High
19,32.48108145790106,High
20,32.10093011513381,High
21,19.33499023979934,Low
22,33.44946484415794,High
23,29.363682974524302,Low
24,31.52515200828124,Low
25,33.37578139054976,High
26,33.80627978822339,High
27,32.34716401538883,High
28,30.240382964758197,Low
29,33.2293401944305,High
30,33.59063412988034,High
31,34.077471806892426,High
32,33.4611956840082,High
33,31.029609938780208,Low
34,33.28616798593991,High
35,30.814861710101503,Low
36,31.137952523728977,Low
37,33.291085140513125,High
38,19.956913151620913,Low
39,31.26273481919942,Low
40,34.13884906739563,High
41,33.355106770808234,High
42,31.158799245610464,Low
43,33.42938921753225,High
44,34.195600013230276,High
45,32.454659620120054,High
46,32.54075160252457,High
47,32.852427919082466,High
48,30.715238191038992,Low
49,24.750890050737887,Low
50,34.0483420044991,High
51,19.116181950567455,Low
52,27.48494852766552,Low
53,30.659561979453436,Low
54,34.02264581937414,High
55,33.569985433966245,High
56,26.681463032035882,Low
57,19.060604335606392,Low
58,33.63876883391163,High
59,33.253842881006975,High
60,33.1851365338843,High
61,30.878662024777896,Low
62,25.87329507249375,Low
63,31.485508212084525,Low
64,33.582726625866634,High
65,32.939622505479264,High
66,32.03801396169661,High
67,27.584726470462922,Low
68,32.47365192538004,High
69,34.000057042607054,High
70,34.23377903532088,High
71,33.158213403341776,High
72,33.614360217661655,High
73,32.20550801167175,High
74,34.22273969412998,High
75,33.19855818889255,High
76,30.376773450752886,Low
77,30.88820774401955,Low
78,30.133391451673003,Low
79,33.4739671540609,High
80,30.941001134822297,Low
81,34.88656828777684,High
82,33.96493002056467,High
83,32.93147547002172,High
84,31.21140552242273,Low
85,34.0179612441705,High
86,32.15579477882942,High
87,33.432893798831664,High
88,33.513018212582786,High
89,34.177285305710384,High
90,31.788985359306743,High
91,26.72968601302282,Low
92,32.49095441371063,High
93,30.395542735081953,Low
94,33.551732777122794,High
95,33.41229086201328,High
96,30.60404866747856,Low
97,32.861416669853945,High
98,33.195890415072576,High
99,33.449233510395366,High
100,32.410330715720214,High
101,33.66347015520853,High
102,32.152057458868754,High
103,25.8190722231189,Low
104,33.200172707765915,High
105,30.23673020070701,Low
106,33.11629315394485,High
107,33.581042487279866,High
108,34.06960010619029,High
109,25.30667961355814,Low
110,30.520499528155405,Low
111,33.59576081403655,High
112,19.115324086887973,Low
113,33.96968555490249,High
114,33.968900818532106,High
115,33.58269304910539,High
116,33.21405776812301,High
117,32.45729198126286,High
118,34.19219001179602,High
119,32.16974989971353,High
120,32.30470634633114,High
121,32.18206415999605,High
122,34.651375971408285,High
123,33.64686484349393,High
124,31.270182220356233,Low
125,34.007503706779914,High
126,27.835363553434085,Low
127,33.90634565151855,High
128,31.620600827045074,Low
129,26.31151531992002,Low
130,34.0817757019499,High
131,30.996807332042042,Low
132,30.284011227234416,Low
133,30.438623114979727,Low
134,31.804065886837698,High
135,33.79797824338026,High
136,31.755259965239354,High
137,30.566290376174074,Low
138,34.26434626564462,High
139,32.62891696726908,High
140,33.33867255065122,High
141,33.66382796849406,High
142,32.28885740233291,High
143,32.24912181150982,High
144,33.59034563551447,High
145,32.614428141673045,High
146,31.432426445316104,Low
147,32.48756607008545,High
148,33.56332976631095,High
149,32.17858162305965,High
150,32.71651247471821,High
151,30.519653946729907,Low
152,32.220695502382746,High
153,31.33203923219266,Low
154,29.82875376459967,Low
155,33.43229117511783,High
156,33.4701707967729,High
157,33.58821290943851,High
158,25.228902875606934,Low
159,18.511901771209814,Low
160,32.68601498216471,High
161,34.27161391438163,High
162,31.039333182173557,Low
163,33.338664113958,High
164,31.8690184580216,High
165,34.28637293070114,High
166,33.389952002438186,High
167,31.504553103865902,Low
168,33.583985812318915,High
169,33.03379502098618,High
170,33.70992139130631,High
171,31.978020887539152,High
172,32.17428820356905,High
173,34.25726970313568,High
174,27.437511665480315,Low
175,31.17610075035791,Low
176,30.406762213772488,Low
177,33.886573156476075,High
178,33.37305504337931,High
179,30.488269189862546,Low
180,32.48118088829555,High
181,32.46934237144313,High
182,32.97173357631884,High
183,33.55314237510623,High
184,32.46284431836516,High
185,25.921437719602636,Low
186,31.882624379250892,High
187,34.729777339875554,High
188,33.916491696345716,High
189,32.68149500068359,High
190,32.379231971843325,High
191,32.765984410674136,High
192,31.609549085054006,Low
193,31.384603863248625,Low
194,32.80775100941153,High
195,32.61188345849873,High
196,31.725293502774004,High
197,33.43761549735962,High
198,34.09547882175406,High
199,33.709649636599835,High
