server_index,usage_count,usage_percentage
0,35.0,3.630705394190872
1,14.0,1.4522821576763485
2,18.0,1.8672199170124482
3,14.0,1.4522821576763485
4,45.0,4.668049792531121
5,27.0,2.8008298755186725
6,8.0,0.8298755186721992
7,20.0,2.0746887966804977
8,28.0,2.904564315352697
9,96.0,9.95850622406639
10,21.0,2.1784232365145226
11,24.0,2.4896265560165975
12,8.0,0.8298755186721992
13,37.0,3.8381742738589213
14,8.0,0.8298755186721992
15,27.0,2.8008298755186725
16,25.0,2.5933609958506225
17,119.0,12.344398340248963
18,47.0,4.875518672199171
19,47.0,4.875518672199171
20,17.0,1.7634854771784232
21,15.0,1.5560165975103735
22,28.0,2.904564315352697
23,25.0,2.5933609958506225
24,29.0,3.008298755186722
25,12.0,1.2448132780082988
26,17.0,1.7634854771784232
27,52.0,5.394190871369295
28,70.0,7.261410788381744
29,31.0,3.2157676348547715
