episode,communication_overhead,overhead_category
0,2.2188799095887424,High
1,2.5013274538012533,High
2,0.496092586068406,Low
3,2.0079349874462795,High
4,2.068538655890737,High
5,1.727758287749685,High
6,0.7562731395914625,Low
7,2.5728381578591577,High
8,1.8102413338700396,High
9,2.1164879457394496,High
10,0.7497141344635967,Low
11,0.9643276285136893,Low
12,2.478443339049048,High
13,1.641703302060864,High
14,2.9007414126959983,High
15,1.965212524735124,High
16,0.07921260367036824,Low
17,1.696790553780216,High
18,3.322154246054276,High
19,3.2058867317624133,High
20,1.3192241525524984,Low
21,1.1102659774132217,Low
22,0.4368342014567115,Low
23,1.6449102054238198,High
24,1.9004861903904353,High
25,3.0025671759504444,High
26,2.1544703396875393,High
27,2.3265797566855486,High
28,1.7850578722945691,High
29,1.2079964189186634,Low
30,2.0362198544868946,High
31,1.5577295323890195,High
32,0.4864309498968856,Low
33,3.0034970843435334,High
34,1.6886576426159765,High
35,3.087216190236525,High
36,0.7136436341114023,Low
37,1.6840949539253716,High
38,1.3676020939632452,Low
39,0.28523337519142844,Low
40,0.4189471579252717,Low
41,1.2994807697908322,Low
42,1.7057875649205805,High
43,0.7764065979331004,Low
44,0.78422889805842,Low
45,0.9383136602898112,Low
46,2.084076931199338,High
47,0.4452448232259283,Low
48,2.8188894203310846,High
49,0.6013720349680105,Low
50,0.9768209426411371,Low
51,0.48270105693468196,Low
52,1.828983786350622,High
53,1.1122867593947279,Low
54,0.47873534995109623,Low
55,3.4848317707161076,High
56,2.6329726716654496,High
57,2.6158411090917397,High
58,0.5318734248933683,Low
59,3.356866741100145,High
60,0.9350850626012875,Low
61,1.2345703903879457,Low
62,1.0217646773304752,Low
63,3.0840971017116776,High
64,0.899144759544696,Low
65,2.149724742985118,High
66,1.2556194450542004,Low
67,2.085165873793697,High
68,2.2109007262902685,High
69,0.42378804739524284,Low
70,1.5282470866930475,Low
71,2.4137604316505574,High
72,0.2305892162807717,Low
73,3.2078300432870215,High
74,1.026489298303996,Low
75,0.7243712666360345,Low
76,0.5981501011669965,Low
77,2.459287730448404,High
78,1.6383755678889467,High
79,2.5389724560148323,High
80,1.279281650238755,Low
81,1.6022773505012868,High
82,2.6212398089527826,High
83,0.3626362605448603,Low
84,1.1446749857285123,Low
85,0.9988765278809253,Low
86,2.259388300935717,High
87,0.5952304796075157,Low
88,1.233410312769435,Low
89,2.92863556941776,High
90,0.22891021010308862,Low
91,1.0981345593487988,Low
92,1.0307166967133103,Low
93,2.403836319765432,High
94,0.41182714646676966,Low
95,0.922071839690043,Low
96,0.2571949240991339,Low
97,1.3738891165920406,Low
98,0.4665836646517567,Low
99,3.15863496248571,High
100,0.9650915160613056,Low
101,0.1016242071303357,Low
102,0.1166644880032367,Low
103,0.8352695526690727,Low
104,1.300658849808519,Low
105,0.6383417067710647,Low
106,0.8578636823185949,Low
107,2.4503277412015967,High
108,1.2813992251751642,Low
109,1.0362532636099544,Low
110,2.14576074790759,High
111,0.776907238932325,Low
112,0.8574619107801198,Low
113,3.3207779327001834,High
114,0.8594878872757934,Low
115,0.7813662505995173,Low
116,2.4520028892312835,High
117,0.08496394906144744,Low
118,1.6617511094262292,High
119,3.422423994838167,High
120,2.275398163140932,High
121,0.4280367503550488,Low
122,3.197726522418469,High
123,2.8553826090828407,High
124,2.7399912897932595,High
125,3.0542379929425705,High
126,0.5161874859526983,Low
127,1.8271936193016058,High
128,0.13717591685627134,Low
129,0.14527682296127686,Low
130,1.020417829317925,Low
131,1.8680266959255962,High
132,1.5754388048217083,High
133,1.0875263341084216,Low
134,2.393787791169681,High
135,1.5292440805171166,Low
136,1.034017173243377,Low
137,1.4571520926347659,Low
138,2.1577533746557,High
139,2.957861102271218,High
140,1.2741375191727102,Low
141,2.4572745391033473,High
142,1.986232337325577,High
143,2.016206622184804,High
144,0.936002313895947,Low
145,0.9367167391893478,Low
146,1.2265022441361295,Low
147,2.3100580374921824,High
148,1.9003454912607558,High
149,2.91405503493388,High
150,1.1932065763629274,Low
151,3.257082889849862,High
152,1.1581595988706497,Low
153,2.9986957496776547,High
154,0.4328672145545464,Low
155,0.9091668037196003,Low
156,0.9774511069026572,Low
157,1.4159153362534442,Low
158,1.9830799986750458,High
159,1.8915174411547295,High
160,0.7243828456372932,Low
161,2.707708558110335,High
162,0.11665697434517261,Low
163,1.3697092158882886,Low
164,1.455340653552123,Low
165,1.3582615821363302,Low
166,2.036419184084107,High
167,0.37994146356769326,Low
168,0.9066427212988615,Low
169,2.844793346137262,High
170,0.9484711921984219,Low
171,2.6922964177573605,High
172,0.49836144665091975,Low
173,1.4488954526475206,Low
174,1.3272186398689683,Low
175,0.5547588821291578,Low
176,0.11862162358998464,Low
177,2.6458244006599108,High
178,1.939919881806372,High
179,0.38106364482297334,Low
180,0.15314463170195777,Low
181,1.3085114834066933,Low
182,3.0010348572582863,High
183,2.434954471853761,High
184,1.2191669289017268,Low
185,0.3476474913681785,Low
186,2.990633502721201,High
187,1.314619378950689,Low
188,1.977878850393415,High
189,1.2081171700055033,Low
190,2.249129130678414,High
191,0.5556723892751759,Low
192,0.7753003830797544,Low
193,3.1114790337097107,High
194,1.4528512955502166,Low
195,0.5918295605250745,Low
196,1.7053354257571653,High
197,1.2819198774452187,Low
198,0.03673002982883403,Low
199,0.8495808901031636,Low
