server_index,usage_count,usage_percentage
0,38.0,3.962460896767466
1,11.0,1.1470281543274243
2,31.0,3.232533889468196
3,23.0,2.398331595411887
4,33.0,3.441084462982273
5,26.0,2.7111574556830034
6,27.0,2.815432742440042
7,24.0,2.502606882168926
8,36.0,3.7539103232533892
9,95.0,9.906152241918665
10,25.0,2.6068821689259645
11,30.0,3.1282586027111576
12,11.0,1.1470281543274243
13,36.0,3.7539103232533892
14,7.0,0.7299270072992701
15,15.0,1.5641293013555788
16,24.0,2.502606882168926
17,112.0,11.678832116788321
18,30.0,3.1282586027111576
19,25.0,2.6068821689259645
20,35.0,3.64963503649635
21,24.0,2.502606882168926
22,29.0,3.023983315954119
23,35.0,3.64963503649635
24,17.0,1.7726798748696557
25,18.0,1.8769551616266946
26,22.0,2.2940563086548487
27,31.0,3.232533889468196
28,75.0,7.820646506777893
29,14.0,1.4598540145985401
