episode,communication_overhead,overhead_category
0,0.9683656962036407,Low
1,3.1778345813677134,High
2,0.1422546926978559,Low
3,0.9511857543065374,Low
4,1.7838475496084358,High
5,1.4724969781499087,Low
6,1.8630804633792377,High
7,2.003869048318281,High
8,3.003192803041357,High
9,2.201971558569235,High
10,2.159994995103237,High
11,1.011945899046777,Low
12,2.5716526028616284,High
13,3.267246060446056,High
14,2.5870123531950044,High
15,0.13937864551045143,Low
16,3.4327785893486427,High
17,1.8700052757071512,High
18,2.393885261976625,High
19,1.0048773119634238,Low
20,0.39221842712946453,Low
21,2.124665732508284,High
22,3.076994677759899,High
23,2.3892149659568984,High
24,0.3538898926020052,Low
25,3.043446087694136,High
26,2.054110482864655,High
27,1.3026321617778118,Low
28,1.230473645578628,Low
29,2.2027863909822645,High
30,3.205317853532167,High
31,2.2411292104426725,High
32,2.1466067102946655,High
33,3.1989206239351318,High
34,1.1732463999785714,Low
35,3.2605346402366777,High
36,2.0660463847217767,High
37,3.3652204363333604,High
38,1.7871739769133375,High
39,3.1570725359443013,High
40,0.1531756600924531,Low
41,3.167907420615097,High
42,0.7172345950626684,Low
43,0.7791033214429521,Low
44,3.0267197994431183,High
45,0.896664424171556,Low
46,1.0122412761000947,Low
47,1.8437543838229562,High
48,2.473991195461852,High
49,0.8669661630956631,Low
50,2.776218877783452,High
51,1.6869262310949305,High
52,0.22637931483829254,Low
53,0.8064439131516452,Low
54,0.9928327858460649,Low
55,0.5415251919555875,Low
56,0.40101048810976686,Low
57,0.44177170870895205,Low
58,2.049469542204954,High
59,1.4758218383977308,Low
60,0.5478836769876355,Low
61,1.102843081228265,Low
62,1.391813669040438,Low
63,3.469438800283883,High
64,2.930952289310167,High
65,1.1367448500731085,Low
66,0.39821558547717933,Low
67,1.9561321774255187,High
68,3.2191703160013994,High
69,2.1162210601988267,High
70,0.18225643959094273,Low
71,0.7794095712207777,Low
72,2.1004159737756716,High
73,0.03304879302083634,Low
74,0.7878829752596299,Low
75,0.22229843737881905,Low
76,3.093767901326824,High
77,0.348235185498188,Low
78,0.3426742249439281,Low
79,0.46799189884229886,Low
80,2.732089469622227,High
81,2.4854745517550154,High
82,2.2203730752768474,High
83,1.681463547182288,High
84,0.3574982011702956,Low
85,2.6066418335527373,High
86,1.4138601756276499,Low
87,0.5607380130129986,Low
88,2.124205078860118,High
89,1.575725419316376,Low
90,0.7261565780151917,Low
91,1.394963665762887,Low
92,2.381938693936378,High
93,1.552417379030507,Low
94,0.036981799719389474,Low
95,1.0049394318067326,Low
96,1.9591780717240488,High
97,0.4568433327477496,Low
98,2.466638403737497,High
99,3.3130165305608097,High
100,3.173662187024264,High
101,1.611320339566759,Low
102,2.989383783969248,High
103,1.220186076632732,Low
104,2.234792297682597,High
105,0.4005274973338375,Low
106,2.4398063505590444,High
107,2.4224783011041233,High
108,1.0449088103770874,Low
109,0.12248260168462614,Low
110,1.5024232156726642,Low
111,2.0324783029240776,High
112,3.214881204448412,High
113,1.1343958806891872,Low
114,1.896007404278461,High
115,1.6643069165586728,High
116,2.497094122178801,High
117,1.7063251457038031,High
118,0.13447826392263754,Low
119,1.9410907751132536,High
120,0.3939258655965191,Low
121,0.22369342080965154,Low
122,2.437681174880389,High
123,0.39846292143854006,Low
124,1.166314832718943,Low
125,2.3304310558309385,High
126,3.033904597816021,High
127,2.7337151286005463,High
128,1.197226027545948,Low
129,1.2359746047584412,Low
130,0.35784691119615947,Low
131,0.713775220862645,Low
132,1.3081772612168914,Low
133,3.049083584326416,High
134,2.4360313608470325,High
135,1.3878112869302506,Low
136,0.42909099385595123,Low
137,2.939878410365843,High
138,2.1805540300128254,High
139,0.5889963885056448,Low
140,1.062283760964596,Low
141,0.809664633753026,Low
142,2.439919469762676,High
143,1.0138986831383485,Low
144,2.3408487270143468,High
145,0.4724564090211556,Low
146,1.9835873107966207,High
147,2.1488532057044747,High
148,1.420322007431094,Low
149,0.035885454980224024,Low
150,3.4497810778079208,High
151,2.0532669907565433,High
152,0.42157214891581457,Low
153,3.3617549983106874,High
154,2.2156187765363953,High
155,0.39948010415347146,Low
156,2.5781270441269135,High
157,1.49287679086295,Low
158,1.8959977477255232,High
159,0.38456455721381044,Low
160,0.9982608348543832,Low
161,2.0496535489138847,High
162,3.2831230013779154,High
163,1.0657951308443603,Low
164,2.1075363602605806,High
165,1.8752797883593497,High
166,1.0377858437547802,Low
167,3.061783371755663,High
168,2.7464264869973576,High
169,1.2741923276463487,Low
170,0.43834044936437017,Low
171,0.4194017141288771,Low
172,1.252463658606576,Low
173,1.2048092016402112,Low
174,2.8982177430659277,High
175,0.9177858488263122,Low
176,2.166314437163633,High
177,2.0320851200823205,High
178,1.1188076661917783,Low
179,0.515791459625954,Low
180,1.4018593609358476,Low
181,0.8182923213328962,Low
182,3.080668167823739,High
183,1.2905505915415414,Low
184,0.11400096877327077,Low
185,1.9906274150646919,High
186,0.5299844263329847,Low
187,3.302376979209637,High
188,3.1582272721150897,High
189,0.22236364106830117,Low
190,0.9619460239499319,Low
191,1.8172476074185167,High
192,0.6883663613894754,Low
193,1.104933543374803,Low
194,2.982717274544491,High
195,0.1410321905518982,Low
196,1.2456043489487987,Low
197,0.4190880220829639,Low
198,2.5757284727877607,High
199,0.8100541787370414,Low
