episode,reward,reward_category
0,28.32957693370269,High
1,12.924203455603411,Low
2,26.089833548837333,High
3,26.37605379697188,High
4,24.998922477051796,Low
5,31.055790082596527,High
6,26.034680630188735,High
7,26.556483645547097,High
8,25.636157676441123,High
9,23.517464714593384,Low
10,22.040427446236677,Low
11,30.018845547483167,High
12,20.075634983290833,Low
13,21.612811061200674,Low
14,29.926080391829874,High
15,30.516438772612076,High
16,26.45917584115804,High
17,30.19751638376134,High
18,14.531992641756261,Low
19,6.553326845819635,Low
20,30.850709652614498,High
21,24.00125238270642,Low
22,25.83777768751392,High
23,29.365614903243156,High
24,23.0738828365423,Low
25,24.380559752672102,Low
26,19.503820682765767,Low
27,31.680455838360068,High
28,30.862355416229136,High
29,26.07786615785939,High
30,20.123931915844942,Low
31,30.484434627968607,High
32,28.99659832131205,High
33,28.616310525866105,High
34,30.03118486652339,High
35,25.33772614804541,High
36,15.724754575488326,Low
37,21.776461852033737,Low
38,28.97525536174082,High
39,27.57335613174166,High
40,31.200100584614525,High
41,26.056389992637488,High
42,23.43425570763215,Low
43,3.200923566595115,Low
44,23.051814142234086,Low
45,23.331788682298413,Low
46,31.24611243559298,High
47,30.533118167344433,High
48,27.128972025388588,High
49,29.108538595911863,High
50,25.909243132956746,High
51,27.051046816738253,High
52,6.836247358480841,Low
53,30.656913699523866,High
54,30.66447534368875,High
55,26.399226079202403,High
56,29.53068017202803,High
57,19.610429650182866,Low
58,29.43298223731947,High
59,31.239876942697286,High
60,26.532075604418324,High
61,23.602939599176295,Low
62,31.39384464656034,High
63,23.406261888227917,Low
64,23.3881940656668,Low
65,12.97164050027309,Low
66,27.579126373214677,High
67,19.769364806864477,Low
68,24.790170781137768,Low
69,26.742204972548624,High
70,18.053341269979377,Low
71,26.98014678350397,High
72,20.325449299296054,Low
73,18.48218686989751,Low
74,5.74406803327597,Low
75,30.399878763976627,High
76,26.525662140855072,High
77,31.04374740142274,High
78,27.052730253615646,High
79,20.454834024941164,Low
80,24.700235299046927,Low
81,25.763155796111775,High
82,20.797837801072543,Low
83,22.982126834836606,Low
84,26.119395073595985,High
85,21.97881130456764,Low
86,27.59045441537419,High
87,27.229858322737847,High
88,18.7329970507143,Low
89,27.82781907840262,High
90,13.308673611381643,Low
91,11.816895683017353,Low
92,29.303852102417288,High
93,27.01713267517266,High
94,24.03169974873584,Low
95,26.95841530695482,High
96,27.49076014412629,High
97,30.31564285728812,High
98,21.607286595945812,Low
99,25.07732440500974,Low
100,26.89802091210359,High
101,19.090624716006467,Low
102,25.060627119256715,Low
103,18.38637915073117,Low
104,30.70503059670459,High
105,26.75790228264915,High
106,29.31263463358647,High
107,28.78956798631718,High
108,31.02171419100557,High
109,22.695429027971944,Low
110,26.261527138384853,High
111,28.161716849281614,High
112,25.259571838936154,High
113,31.112718183643747,High
114,27.34044285706877,High
115,23.79033329892715,Low
116,30.563117698280916,High
117,18.831705596652224,Low
118,19.56804641399724,Low
119,23.072809243415545,Low
120,19.052289873409343,Low
121,30.467124154630238,High
122,29.702016158459706,High
123,26.94688852206766,High
124,23.51996089798627,Low
125,27.052472290060255,High
126,24.304410019886276,Low
127,30.63214769011452,High
128,28.732357925657496,High
129,13.07885906542905,Low
130,30.59598639694053,High
131,27.803981072351295,High
132,12.174572449853477,Low
133,25.280005278540038,High
134,31.014342486680192,High
135,30.79561360785853,High
136,27.3380781503194,High
137,28.123976591749436,High
138,29.62210321466749,High
139,30.734990078469878,High
140,5.8530827015911555,Low
141,23.239311747883942,Low
142,26.477448995774846,High
143,6.1027936168587456,Low
144,31.67133032272925,High
145,30.852871035412107,High
146,24.256797072569572,Low
147,27.519361611255924,High
148,27.299586119082544,High
149,31.342046861236675,High
150,21.02695855927175,Low
151,27.348791002156556,High
152,22.885578969615594,Low
153,22.859820509471962,Low
154,29.584205122104017,High
155,29.8031047470976,High
156,30.32823885865625,High
157,27.19700867680263,High
158,31.37734197511103,High
159,26.9641476828708,High
160,26.94434953743602,High
161,30.705198834659207,High
162,28.50371527055406,High
163,27.274751899318186,High
164,25.82374855564051,High
165,19.845579955465272,Low
166,5.8042201343782365,Low
167,27.98249162845488,High
168,25.742448444223605,High
169,23.49548620307486,Low
170,31.312332693681025,High
171,22.71913820297417,Low
172,21.16976955272886,Low
173,30.646739198171637,High
174,28.105694110039416,High
175,29.17298367705276,High
176,26.54857540258042,High
177,22.694801681063915,Low
178,26.76798571517971,High
179,24.157420125050102,Low
180,29.534145000455474,High
181,26.29474208454721,High
182,29.085525507635737,High
183,26.02788938519475,High
184,27.219343762037283,High
185,27.937568535576613,High
186,31.04455595929625,High
187,21.481515819245594,Low
188,28.202656421799585,High
189,26.076324276172393,High
190,31.785599568312925,High
191,26.108065157052906,High
192,31.710502735730234,High
193,23.168298138082683,Low
194,21.819324170772482,Low
195,22.969713970828106,Low
196,9.67030246799455,Low
197,30.784309796054036,High
198,26.48117439923371,High
199,31.01133733627391,High
