episode,reward,reward_category
0,34.71340045674823,High
1,34.26921576084283,High
2,31.094498866507504,Low
3,32.76634805576682,High
4,32.45116413790451,High
5,34.19260170008478,High
6,32.59541160317804,High
7,33.460330176399744,High
8,33.44575038109733,High
9,34.051812512095665,High
10,33.77621481638927,High
11,33.12260126748788,High
12,31.163775441472687,Low
13,19.191450636151757,Low
14,32.5764625138858,High
15,32.23411964238764,High
16,34.06119170842534,High
17,33.93011840703137,High
18,32.40875220503669,High
19,33.14772490030498,High
20,30.285823802458445,Low
21,29.32368257667509,Low
22,30.43793006929264,Low
23,34.10672318039721,High
24,18.654580192708586,Low
25,33.725530653818275,High
26,31.000163540674137,Low
27,32.542227728538585,High
28,30.761394693414626,Low
29,31.688251459406047,Low
30,32.1961525927652,High
31,33.8625321717664,High
32,31.19569510873839,Low
33,32.73849104909765,High
34,33.103050868726264,High
35,33.24454976454145,High
36,33.7793933496051,High
37,33.05398687934777,High
38,31.497187201942342,Low
39,32.12502613449,Low
40,30.946052752895973,Low
41,34.67804618122624,High
42,31.053620042578643,Low
43,34.71808798750608,High
44,34.15348772237601,High
45,33.045825509784756,High
46,33.503468022678895,High
47,34.81746798618528,High
48,32.39560252769749,High
49,30.613793899000957,Low
50,32.112821427998234,Low
51,33.16435792499266,High
52,30.54401486649879,Low
53,31.06399929803813,Low
54,32.00248909282508,Low
55,34.08320661459142,High
56,33.76662588080748,High
57,32.690003360621134,High
58,30.7809384906586,Low
59,30.651837774015657,Low
60,31.003633436791528,Low
61,30.29792317535486,Low
62,33.70619941525935,High
63,32.753393635354286,High
64,33.84229491818114,High
65,30.537302233679213,Low
66,32.83249888437042,High
67,32.79804734678041,High
68,31.647822917021735,Low
69,33.72064727123981,High
70,31.790342426391977,Low
71,34.340301770696186,High
72,33.77775940750705,High
73,33.59942784840528,High
74,34.727506616734225,High
75,30.836543933938792,Low
76,33.77964526897556,High
77,31.191988842828735,Low
78,33.77735026154665,High
79,34.2868373916217,High
80,30.920759681597062,Low
81,30.772878383415755,Low
82,28.734872893338895,Low
83,34.89631775119382,High
84,34.54745594902977,High
85,19.626624423197303,Low
86,33.97707966061904,High
87,33.98632471164847,High
88,32.003725348020595,Low
89,29.75788637211843,Low
90,31.662275912352452,Low
91,33.35957043604321,High
92,31.822899459087065,Low
93,31.500028739721387,Low
94,34.42418704134328,High
95,31.837256601072667,Low
96,33.13924908356725,High
97,34.617275014725294,High
98,32.02583347144943,Low
99,34.0102933442203,High
100,34.06370474891624,High
101,32.70255869061291,High
102,33.11122021169796,High
103,32.15663043439379,Low
104,31.469956190039525,Low
105,31.360000687226236,Low
106,33.6717132700199,High
107,33.22279437100088,High
108,30.435048699041175,Low
109,30.932006652152808,Low
110,32.48705907966885,High
111,32.47829622530667,High
112,32.42884760826642,High
113,29.892834406066065,Low
114,31.15090785030649,Low
115,31.619049735902816,Low
116,29.630434160434028,Low
117,30.892477358391176,Low
118,25.00620175464775,Low
119,31.628235749430782,Low
120,31.066452307206298,Low
121,33.43704273311161,High
122,33.54034207453067,High
123,31.751358878238435,Low
124,34.048138142834375,High
125,33.98934387185476,High
126,34.35033495374179,High
127,33.3156013618365,High
128,34.91246886328228,High
129,33.81626403913286,High
130,31.038491644675723,Low
131,32.32427466293885,High
132,30.79124290308536,Low
133,33.32002899644397,High
134,30.4031982299422,Low
135,31.29347553960987,Low
136,31.541514967927192,Low
137,31.611717299112982,Low
138,33.14383898023594,High
139,33.51393918082337,High
140,32.43902595585703,High
141,33.16254759642722,High
142,33.65970402410401,High
143,32.22740471174174,High
144,33.2550175224329,High
145,30.639196291292023,Low
146,32.688670242053796,High
147,30.726476916041296,Low
148,34.45628440092307,High
149,33.275239550899826,High
150,33.65029624609507,High
151,33.58138546970396,High
152,34.04719328714186,High
153,34.496392637999705,High
154,31.947694404540194,Low
155,30.864576427019532,Low
156,20.241983766865104,Low
157,34.091649085651596,High
158,31.469993759025424,Low
159,31.091271835500436,Low
160,34.40502494112147,High
161,33.21785981007869,High
162,30.518304608409913,Low
163,34.02871229620575,High
164,30.506711766448042,Low
165,34.0946838052119,High
166,30.447558357664786,Low
167,30.940258945757407,Low
168,32.334744016247086,High
169,34.396357770480705,High
170,34.07916691977435,High
171,30.98561220186652,Low
172,31.072128162242084,Low
173,33.898070835597984,High
174,31.545519788037506,Low
175,34.27184007727941,High
176,33.00401958875638,High
177,32.442989788785,High
178,34.22005329527102,High
179,33.68170809643512,High
180,28.00196321253526,Low
181,32.24793483361162,High
182,33.606216099706145,High
183,31.608700177524142,Low
184,31.725997390298822,Low
185,29.928336989306718,Low
186,33.38744907257316,High
187,30.923937268820147,Low
188,33.436217852553874,High
189,33.992487871652024,High
190,31.496900475420276,Low
191,22.528231486712638,Low
192,30.950196663388027,Low
193,33.045290637022134,High
194,33.468783222958656,High
195,31.200567879440563,Low
196,32.30475462734523,High
197,32.937374986721174,High
198,32.555783240659906,High
199,34.71086564181952,High
